Wavelength nm.	mq_01 - ...	chemocean_06 - ...	chemocean_07 - ...	chemocean_08 - ...	chemocean_09 - ...	chemocean_10 - ...	chemocean_NO3-0 - ...	chemocean_NO3-1 - ...	chemocean_NO3-2 - ...	chemocean_NO3-3 - ...	chemocean_NO3-4 - ...	chemocean_BR-1 - ...	chemocean_Br-2 - ...	chemocean_Br-3 - ...	chemocean_Br-0 - ...
309.00	-0.000	0.007	0.013	0.015	0.013	0.014	0.001	0.002	0.002	0.002	0.002	0.025	0.008	0.007	0.007
310.00	0.000	0.007	0.012	0.015	0.013	0.014	0.001	0.002	0.001	0.002	0.002	0.026	0.008	0.006	0.007
311.00	-0.001	0.006	0.012	0.014	0.012	0.014	0.001	0.002	0.001	0.001	0.002	0.025	0.008	0.006	0.008
312.00	-0.001	0.006	0.012	0.014	0.012	0.013	0.001	0.002	0.001	0.001	0.002	0.025	0.008	0.007	0.007
313.00	0.000	0.006	0.012	0.014	0.012	0.013	0.001	0.002	0.001	0.002	0.002	0.025	0.007	0.006	0.008
314.00	-0.000	0.006	0.012	0.014	0.012	0.013	0.001	0.002	0.001	0.001	0.002	0.025	0.007	0.006	0.008
315.00	-0.001	0.006	0.011	0.013	0.011	0.012	0.001	0.001	0.001	0.001	0.001	0.024	0.007	0.006	0.007
316.00	-0.000	0.006	0.011	0.013	0.010	0.012	0.001	0.002	0.001	0.001	0.001	0.024	0.007	0.006	0.007
317.00	-0.000	0.006	0.012	0.013	0.011	0.012	0.001	0.002	0.001	0.001	0.002	0.025	0.007	0.006	0.008
318.00	-0.000	0.006	0.012	0.013	0.011	0.012	0.001	0.002	0.002	0.001	0.001	0.024	0.007	0.006	0.007
319.00	0.000	0.006	0.011	0.013	0.010	0.011	0.001	0.002	0.001	0.001	0.001	0.024	0.006	0.005	0.007
320.00	0.000	0.006	0.011	0.012	0.010	0.011	0.001	0.002	0.001	0.002	0.002	0.024	0.006	0.005	0.007
321.00	-0.000	0.006	0.011	0.012	0.010	0.011	0.001	0.002	0.002	0.001	0.002	0.023	0.006	0.005	0.007
322.00	-0.000	0.006	0.010	0.012	0.010	0.011	0.001	0.002	0.001	0.001	0.001	0.023	0.006	0.005	0.006
323.00	-0.000	0.005	0.010	0.011	0.009	0.010	0.001	0.002	0.001	0.001	0.001	0.023	0.005	0.005	0.006
324.00	-0.000	0.005	0.010	0.011	0.009	0.010	0.001	0.002	0.001	0.001	0.002	0.022	0.006	0.005	0.007
325.00	-0.000	0.006	0.010	0.011	0.009	0.010	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.005	0.006
326.00	-0.000	0.005	0.010	0.011	0.009	0.010	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.004	0.006
327.00	-0.000	0.005	0.010	0.011	0.009	0.009	0.001	0.001	0.001	0.001	0.001	0.022	0.005	0.004	0.006
328.00	0.000	0.005	0.010	0.011	0.009	0.010	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.005	0.006
329.00	0.000	0.005	0.010	0.011	0.008	0.009	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.004	0.006
330.00	-0.001	0.005	0.010	0.010	0.008	0.009	0.001	0.001	0.001	0.001	0.001	0.022	0.005	0.004	0.006
331.00	-0.000	0.005	0.009	0.010	0.008	0.009	0.001	0.002	0.001	0.001	0.001	0.021	0.005	0.004	0.006
332.00	0.000	0.005	0.009	0.010	0.008	0.009	0.001	0.002	0.001	0.001	0.001	0.022	0.005	0.004	0.006
