lat,long,time,Year,Month,Day,Hour,Minute,Second,CTD,Depth,Press,Salinity,Temperature,Oxygen,ChlF,Turbidity,FDOM,Density,OxygenSaturationConc,OxygenSaturation
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,8.15,18.361563205719,9.77854720730238,5.68241119384766,350.80078125,1.26133323204786,0.585777764442534,9.68891745670669,1007.69729999369,364.695491045556,96.1900516631777
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,8.35,18.5018978118896,10.0823617030741,5.74102783203125,349.818349202474,1.40566636957407,NaN,9.56358412631418,1007.93351971557,363.348453707639,96.2762729916413
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,8.55,18.79660987854,11.662394649677,5.84099324544271,346.691518147786,1.75400006771088,0.602466642856598,9.15750058492025,1009.17261112981,358.250377738448,96.7735248002724
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,8.95,19.1579895019531,13.9302224726745,6.00960286458333,342.171457926432,2.0033339666795,0.5982333223025,8.56133584366798,1010.94674405374,350.854891225785,97.525064202749
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,9.15,19.3098182678223,18.4405138044851,6.20569356282552,331.880828857422,2.43725065464489,0.698516656955083,7.59800247536659,1014.47929598032,337.785853875488,98.2518436014069
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,9.25,19.4656467437744,21.9700416794255,6.280517578125,322.947072347005,3.06733345985413,NaN,7.07933362325033,1017.24851789405,328.542170699069,98.2969923342996
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,9.35,19.5999774932861,23.143997455284,6.30874633789062,318.349436442057,NaN,0.744983315467834,6.99583359106102,1018.16927198404,325.500149039131,97.8031614983334
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,9.55,19.7268447875977,23.3001554569248,6.30635579427083,316.812774658203,3.36350043676656,NaN,6.97950032893537,1018.29237742188,325.145396006779,97.437263005747
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,9.65,19.849739074707,23.3948369269662,6.30474853515625,314.822682698568,3.32333374085388,0.740333318710327,6.96250028951683,1018.36703750629,324.931707278566,96.8888771537056
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,9.85,20.0462989807129,23.4774181597166,6.30333455403646,314.067993164062,3.27500009536743,0.7639333208402,6.94383366902669,1018.43215917324,324.745531635043,96.7120291333276
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,10.15,20.3174743652344,23.5639316391413,6.30154418945312,312.365142822266,3.19924950776888,0.763549983501434,6.92241694203854,1018.50041523328,324.552992632417,96.2447273367296
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,10.45,20.6984691619873,23.6625455983661,6.29927571614583,311.223114013672,3.04124951539827,0.731816649436951,6.90475028427283,1018.57824401225,324.335416611892,95.9571783016497
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,10.95,21.1465244293213,23.7268638576385,6.29794311523438,310.265380859375,2.95741621830456,0.689233322938283,6.89558356674353,1018.62899210929,324.192446972706,95.7040744646024
55.9216666666667,12.617,19-Apr-2026 12:59:42,2026,4,19,12,59,42.5,RBR,11.05,21.2691164016724,23.7541144089061,6.29709879557292,310.55241394043,2.95458347285174,0.694049974282583,6.89641699492938,1018.65052232067,324.134052737918,95.809869810726
